-nan nan
54.1784 339.671
17.9784 142.562
11.177 94.4173
10.6899 93.8457
13.4073 108.514
58.7587 379.219
41.0634 278.074
14.4647 121.351
15.3442 128.767
7.96256 77.2129
11.1862 96.6897
9.91995 89.9007
27.8189 207.814
12.3302 107.712
14.5039 115.716
19.208 140.927
13.2031 108.046
23.1101 175.176
28.5672 224.858
5.64087 61.0012
13.8133 126.004
13.0762 108.022
10.7031 95.5416
9.34949 87.1678
10.5379 92.3043
11.5192 99.7182
40.7585 271.581
5.82288 61.6759
8.57857 80.9695
24.8252 168.243
7.33056 73.288
20.8458 153.917
14.4418 116.438
13.2594 113.085
19.5813 145.139
9.92102 88.9956
19.5844 146.295
13.5882 115.342
8.48644 78.9816
29.1075 220.057
7.07514 71.612
35.2187 250.723
13.6793 110.112
55.0232 351.102
19.1245 144.49
10.6621 93.8785
11.3862 99.1561
11.8865 105.533
11.0475 98.7547
20.7777 168.952
5.36337 59.1251
18.8914 147.364
14.8223 119.744
6.92347 70.7771
38.2805 250.14
30.6608 217.138
19.8641 146.619
6.41496 66.9094
6.38699 65.5875
8.2899 80.6296
86.071 488.191
30.5288 231.314
11.9521 103.359
7.45024 72.3164
8.65355 80.7247
17.7058 145.861
8.73413 80.9139
18.3505 139.737
8.53961 80.9464
37.9739 258.749
7.57048 76.9179
20.8867 156.279
22.4575 168.327
35.9128 237.815
9.53066 86.1341
11.174 97.0152
36.7835 258.614
14.3727 112.602
6.76788 69.6125
21.7584 159.157
27.1722 183.498
9.04638 83.6732
17.1933 135.374
21.666 159.995
73.4049 484.031
9.45107 90.3588
8.46151 80.7809
23.4374 171.543
4.24506 51.5181
8.58042 82.1374
7.9857 78.8492
8.39696 82.3206
10.3917 95.628
5.40361 59.5522
14.4873 114.651
17.4295 139.9
9.97302 90.2949
58.1613 375.97
9.87683 91.6979
10.6882 91.3507
5.43179 60.8913
18.9276 142.436
10.2389 89.5532
14.3684 120.068
6.19113 65.2428
73.4249 498.4
25.2834 181.284
9.04098 83.9512
7.33678 72.647
28.3667 193.67
6.06898 64.5834
18.7027 141.772
13.5459 111.875
18.0402 138.981
53.1973 337.767
11.8402 100.349
8.85413 83.3923
11.3029 102.522
16.6167 134.041
13.3211 108.995
35.4452 232.997
20.671 151.688
7.70874 74.1696
12.1154 100.529
9.39957 84.5325
46.6474 291.88
24.5986 177.337
9.52488 84.3887
16.5839 130.964
10.5035 92.4964
8.93883 84.1561
10.4563 94.3754
14.0816 114.244
11.5487 100.27
53.7075 386.849
13.6823 115.846
7.20954 71.9891
8.93378 86.4409
17.4511 138.007
10.2255 92.033
8.90898 82.425
31.2702 208.252
13.879 110.21
40.9521 262.443
13.8339 109.411
11.3976 98.799
10.0854 92.9791
12.8805 116.034
6.50954 67.0853
14.0891 115.34
6.02576 65.5845
12.6067 114.598
18.9758 148.251
59.8087 355.775
5.01125 56.7079
7.17673 73.3454
27.2142 186.875
8.378 81.9207
21.0545 155.916
13.6698 120.824
13.2385 110.815
13.2913 108.481
21.4437 150.747
9.7936 88.8656
15.5757 127.783
11.3796 99.0833
13.843 117.111
40.5563 279.828
12.7544 107.554
9.67076 86.3618
8.90103 87.41
48.2486 319.069
20.6523 157.946
6.79282 68.8446
20.7748 158.199
25.2123 187.95
16.5758 137.093
28.6912 210.258
5.08077 58.1225
11.0377 99.8438
12.7894 105.304
7.26213 70.5718
12.7681 107.619
28.9158 208.949
15.1041 117.659
16.8761 125.454
28.0177 196.446
15.0364 124.257
11.1188 95.4377
14.2723 117.37
39.4805 267.684
5.39937 59.0202
8.23857 80.5201
7.6818 75.3519
18.0092 135.403
7.65251 73.8259
29.6785 196.556
11.3471 101.486
5.99146 63.4504
13.3855 109.573
6.53261 67.7591
35.8207 238.371
19.7385 152.128
9.80901 89.9514
10.3382 92.9871
8.18151 77.9031
14.8334 118.198
11.6183 99.8956
5.97558 63.8436
8.09193 76.2659
15.2146 124.455
59.0269 400.504
11.3675 101.916
11.2284 97.6277
8.20553 80.7706
10.8847 93.3689
5.16947 58.3212
10.4417 91.7104
12.7052 113.892
22.317 161.499
30.8183 211.383
7.30544 74.0047
8.67953 80.1034
20.0473 148.795
17.0019 136.283
14.7928 123.123
18.8432 137.376
11.5387 105.873
28.4695 195.772
35.438 255.123
10.219 89.9437
16.4314 142.421
26.3433 210.703
14.3345 121.871
17.939 141.933
6.65658 66.7
25.8519 202.896
11.5505 101.384
13.0551 106.252
6.35209 66.3864
6.93321 72.3904
6.2073 65.9019
5.43587 59.8674
15.6972 120.714
7.63419 77.7845
7.8777 77.8161
82.173 481.183
6.29202 66.3312
14.6775 119.492
19.1498 148.433
13.5262 114.359
12.7615 112.304
15.6667 130.28
36.399 263.555
5.20868 59.2441
10.5213 93.2505
8.00623 75.7783
7.3259 72.2288
31.1823 205.821
9.84551 87.3363
7.48547 74.9521
26.3644 186.314
11.9812 99.9227
16.4728 129.524
10.8864 96.1405
37.7673 258.324
16.2082 126.489
8.90878 83.004
6.75807 70.8185
24.3405 186.311
7.18197 71.0579
35.4832 235.256
10.3679 90.7631
14.875 126.04
14.9808 118.508
11.3394 100.284
10.4407 90.412
11.1952 96.936
14.1768 114.667
8.83726 83.0973
10.811 100.44
16.0836 131.179
13.4613 114.343
9.63276 87.551
28.1357 192.076
40.2071 274.124
6.37046 66.8949
18.3483 137.266
13.84 113.987
12.1502 104.473
17.2646 132.656
5.80994 62.7201
7.32093 74.781
24.441 192.978
14.2079 117.036
10.5488 99.5689
7.11571 70.0541
7.1343 71.6996
9.89422 88.6561
8.60469 81.225
6.66921 68.4682
17.8961 139.17
16.6417 133.263
40.1033 263.576
