-nan nan
9.31876 82.9602
15.2741 130.545
5.15395 54.2773
7.97548 76.5116
7.88001 71.8169
13.3576 109.582
15.1138 128.188
4.35198 46.7488
7.62026 68.8963
6.5993 63.7799
33.2598 252.033
6.46246 63.7312
3.29453 39.7405
12.5024 113.976
6.41428 61.0078
8.05663 74.3196
4.16599 45.2358
6.14155 59.3345
4.77656 50.0643
4.32919 47.8553
12.3879 100.01
7.49179 68.4189
8.55545 77.7628
12.64 106.406
9.48446 89.1996
7.67324 75.2251
3.35333 40.0293
7.59171 74.5492
10.1033 84.2472
13.214 110.664
4.56605 50.4362
29.6347 216.841
31.4318 260.08
6.66114 64.1708
6.7233 63.5162
28.1137 210.535
3.26032 38.9361
15.1568 116.343
4.93127 50.7122
4.90936 52.0535
3.18391 38.5591
4.22514 46.0475
25.223 196.808
12.0969 103.528
5.41568 54.0271
16.4886 132.207
3.95872 45.4544
5.77264 58.2325
5.97351 61.0295
5.07551 53.2308
26.2315 197.465
4.09506 45.0523
4.74858 51.0922
5.27045 54.6724
8.06607 74.3955
3.50517 41.6284
3.81673 43.3516
4.38549 48.6394
5.72233 55.7379
7.15549 66.8458
20.1456 149.492
4.91568 52.358
3.9564 43.8407
13.0047 117.809
7.59747 75.1318
3.74307 42.4037
8.85048 77.5535
3.84003 44.3392
11.9018 100.275
3.05957 37.5631
45.4494 313.614
4.99911 51.2508
7.30997 71.3366
4.13501 45.7417
6.31341 64.8387
16.194 124.671
5.07197 51.431
3.84533 44.201
5.61732 57.4343
10.0661 90.3773
3.87314 43.3132
3.96347 44.6435
24.7838 183.372
4.63593 51.1909
70.8562 473.461
3.63319 42.539
9.56915 83.0481
3.53673 42.0067
10.7122 91.2668
7.18822 68.7491
7.13007 68.7618
5.45407 55.4243
5.71195 56.1928
5.302 54.6689
6.18845 60.3354
11.1075 95.901
5.71039 56.0404
4.88561 52.037
5.80097 56.9066
6.61832 65.4077
5.23546 52.8588
18.4113 141.805
7.27482 72.1055
4.02873 45.7613
3.13604 38.5992
8.27917 74.7215
18.8934 142.611
3.04998 37.7574
33.8125 238.737
11.3781 93.4797
8.7013 81.0844
7.04669 67.3402
7.08714 66.0267
24.6912 184.035
10.4665 87.8279
5.99499 59.7116
6.18319 61.2728
9.59098 84.4405
7.11086 65.5378
18.853 142.291
5.2752 56.1445
85.2907 616.4
5.68484 57.8475
7.89532 74.4644
9.00344 80.5529
22.7258 169.65
17.6243 152.393
5.00877 52.8802
17.0872 140.784
4.04175 45.1715
3.93163 43.4812
3.03806 37.3901
5.46056 55.9905
7.10995 69.1954
11.5712 98.5628
13.3447 108.21
3.99298 44.5577
17.6758 137.271
5.37617 55.4025
5.72063 59.9687
11.1699 95.7278
4.60271 49.3188
6.97696 68.0462
9.93076 89.0694
5.36327 55.7229
6.99972 65.7221
4.98246 51.7363
5.68056 56.1133
10.9149 93.6503
8.43101 76.6184
3.31164 39.2325
6.31593 60.6892
4.56813 50.0299
11.1804 98.595
3.4552 41.1311
11.055 94.2124
4.5986 48.4493
3.39728 40.652
3.82233 42.7147
3.59934 41.7983
6.37974 60.2158
11.094 90.8102
25.9606 192.88
56.063 401.361
7.31356 72.3795
3.32893 39.3117
7.24118 66.5516
6.6744 63.9441
6.76507 63.9878
4.78213 49.9574
6.94595 64.2034
8.17849 73.3313
3.03518 37.6738
3.84904 44.2095
5.76408 58.8498
3.86098 43.4755
5.81764 57.1871
96.0008 674.055
6.63997 62.8267
3.8769 43.3523
54.2134 400.416
9.10093 80.0515
4.65123 51.0459
15.9652 135.457
5.66668 55.7497
13.1842 118.71
19.4097 151.052
4.51028 49.2293
6.95574 64.4776
6.40218 61.1647
10.5441 88.1599
3.00643 37.2894
6.37762 62.3518
8.54079 75.9358
3.52197 40.7081
30.9707 223.844
20.086 150.672
5.26353 52.6659
130.985 944.684
23.8942 196.894
9.00308 78.3957
14.8264 131.197
7.26621 67.2634
3.55222 42.1226
9.7852 84.5753
183.586 1266.53
3.81776 43.686
31.6706 244.658
10.9176 97.665
5.32057 55.5502
5.87015 59.0084
6.24366 62.2612
5.72406 59.0737
5.82487 57.6462
14.6904 124.448
8.38768 74.2911
3.21589 39.3234
15.1364 117.98
7.48345 68.163
3.28692 39.5788
3.36038 40.4514
7.05972 67.1046
4.83135 50.0472
6.1519 59.9518
6.62563 67.3343
15.0161 117.853
4.4841 49.249
6.57163 64.6628
5.72189 59.6797
9.43157 83.2845
