0 60 1 0 0 0 1 0 0 0 0 0 0 0 0
0.008 60 1 0 0 -0.240196 0.970724 0 0 0.006949 0 0 45.5873 0 0
0.016 60 1 0 0 -0.317207 0.948356 0 0 0.0092464 0 0 1.89402 0 0
0.024 60 1 0 0 -0.261611 0.965173 0 0 0.00758268 0 0 -24.8242 -0 0
0.032 60 1 0 0 -0.130581 0.991438 0 0 0.00375234 0 0 -38.852 -0 0
0.04 60 1 0 0 0.043133 0.999069 0 0 -0.00123444 0 0 -46.5429 0 0
0.048 60 1 0 0 0.237868 0.971298 0 0 -0.00687802 0 0 -51.0562 0 0
0.056 60 1 0 0 0.435936 0.899978 0 0 -0.0129195 0 0 -53.8656 0 0
0.064 60 1 0 0 0.621652 0.783294 0 0 -0.019215 0 0 -55.6965 0 0
0.072 60 1 0 0 0.781152 0.624341 0 0 -0.0256792 0 0 -56.9318 0 0
0.08 60 1 0 0 0.902783 0.430096 0 0 -0.0322589 0 0 -57.7873 0 0
0.088 60 1 0 0 0.977593 0.210503 0 0 -0.0389195 0 0 -58.3913 0 0
0.096 60 1 0 0 0.999748 -0.0224268 0 0 -0.0456376 0 0 -58.8241 0 0
0.104 60 1 0 0 0.966801 -0.255529 0 0 -0.0523973 0 0 -59.1375 0 0
0.112 60 1 0 0 0.879772 -0.475395 0 0 -0.0591871 0 0 -59.3664 0 0
0.12 60 1 0 0 0.743034 -0.669254 0 0 -0.065999 0 0 -59.5344 0 0
0.128 60 1 0 0 0.56401 -0.825768 0 0 -0.0728272 0 0 -59.6585 0 0
0.136 60 1 0 0 0.352701 -0.935736 0 0 -0.0796675 0 0 -59.7503 0 0
0.144 60 1 0 0 0.121068 -0.992644 0 0 -0.0865167 0 0 -59.8185 0 0
0.152 60 1 0 0 -0.117682 -0.993051 0 0 -0.0933725 0 0 -59.8691 0 0
0.16 60 1 0 0 -0.349886 -0.936792 0 0 -0.100233 0 0 -59.9069 0 0
0.168 60 1 0 0 -0.562223 -0.826986 0 0 -0.107098 0 0 -59.935 0 0
